starttime	seconds	ctime	dtime	ttime	wait
Sat Apr 22 17:30:53 2023	1682202653	75	10492	10567	4358
Sat Apr 22 17:30:22 2023	1682202622	62	10517	10579	1257
Sat Apr 22 17:30:20 2023	1682202620	64	10520	10584	1536
Sat Apr 22 17:30:42 2023	1682202642	102	10489	10591	982
Sat Apr 22 17:30:53 2023	1682202653	70	10529	10599	755
Sat Apr 22 17:30:17 2023	1682202617	93	10510	10603	3902
Sat Apr 22 17:30:41 2023	1682202641	78	10532	10610	1086
Sat Apr 22 17:30:41 2023	1682202641	59	10552	10611	1164
Sat Apr 22 17:30:41 2023	1682202641	66	10549	10615	1223
Sat Apr 22 17:30:41 2023	1682202641	73	10557	10631	1289
Sat Apr 22 17:30:41 2023	1682202641	63	10574	10637	1365
